claim_id,claim_text,source_url,source_fact_checker,published_date,ground_truth_verdict,verdict_reasoning,language,topic_category
boomlive_001,Animals appear to possess a more intuitive understanding of humanity's essence than humans do.,https://www.boomlive.in/fact-check/viral-video-cow-rescue-child-moving-train-claim-fact-check-31033,BoomLive,2026-04-19,Misleading,An AI video appearing to show a cow protecting a child from a speeding train is being shared as a real incident. Multiple visual discrepancies and results from AI detection tools confirmed that the footage was artificially generated.,en,Technology
boomlive_002,Sexual Assault Case Of Minor In UP Given Communal Spin,https://www.boomlive.in/fact-check/uttar-pradesh-kushinagar-5-year-old-rape-communal-claim-fact-check-31029-31032,BoomLive,2026-04-19,False,"Several news websites and social media users recently reported about a sexual assault case of a five-year-old girl in Uttar Pradesh’s Kushinagar district, with false communal claims that the school headmaster, Naeemuddin Ansari, committed the crime. However, Kushinagar Police confirmed to BOOM that ",en,Religion
boomlive_003,"The atmosphere has changed with the entry of CRPF in Bengal. The goons are being dug out from the ground. No more talks, straight-up tough action has begun. In Bengal, no more Bhai rule, only Hindu rule will prevail.",https://www.boomlive.in/fact-check/viral-video-crpf-action-in-west-bengal-upcoming-assembly-election-claim-fact-check-31028,BoomLive,2026-04-19,Misleading,A video from Bangladesh showing uniformed security personnel heckling a man has been shared with a misleading claim that it shows Central Reserve Police Force (CRPF) in action in poll-bound West Bengal. BOOM found that the video shows a protest over the killing of Bangladeshi activist Sharif Osman H,en,Technology
boomlive_004,Huge numbers of crows in Tel Aviv stormed the area for more hell to come. The situation in Israel is terrifying in every respect.,https://www.boomlive.in/fact-check/viral-video-crow-flying-bad-omen-israel-doomsday-claim-fact-check-30911,BoomLive,2026-04-19,Misleading,"the video has been available online since January 2024, with posts identifying the location as Texas in the US",en,Social
boomlive_005,The video is being shared on X and Facebook claiming that it is from the ongoing protests in Nodia.,https://www.boomlive.in/fact-check/fake-news-video-noida-protests-wage-hike-workers-blast-video-maharashta-chemical-company-ambernath-factcheck-31006,BoomLive,2026-04-19,False,"A video from a fire incident at a chemical factory in Maharashtra is being falsely shared as footage from the ongoing wage hike protests in Noida. BOOM found that the video is from March this year when a major fire that broke out at Ganesh Chemical Company in the Anandnagar MIDC area of Ambernath, M",en,Technology
boomlive_006,"Video From Brazil Peddled As Woman Raped, Thrown Out Of Car In Haryana",https://www.boomlive.in/fact-check/viral-video-woman-raped-faridabad-thrown-moving-car-claim-fact-check-31004,BoomLive,2026-04-19,Unverifiable,Disturbingvisuals of a woman falling out of a moving car in Brazil is viral as a rape incident from Haryana with claims that a woman was sexually attacked and then abandoned from a moving vehicle. BOOM found that the incident is from Macapá in Brazil where a woman jumped from a moving vehicle on Mar,en,Other
boomlive_007,The video is being shared on Facebook claiming that Vance would not be going to Pakistan and will return to the US.,https://www.boomlive.in/fact-check/fake-news-jd-vance-plane-iran-us-ceasefire-talks-pakistan-factcheck-31000,BoomLive,2026-04-19,Misleading,"
A video appearing to show India Today anchor Gaurav Sawant reporting that United States Vice President JD Vance’s plane did not land in Pakistan ahead of the talks between Iran and US is fake. BOOM found that the video has been digitally altered using AI-generated voiceover.",en,Technology
boomlive_008,The two videos are being shared on X with captions claiming that the Indian media is praising Pakistan and criticising the Narendra Modi government for missing out on being a negotiator.,https://www.boomlive.in/fact-check/fake-news-viral-videos-deepfakes-ravish-kumar-shiv-aroor-pakistan-us-iran-ceasfire-modi-factcheck-30991,BoomLive,2026-04-19,False,Deepfakes of journalists Ravish Kumar and Shiv Aroor are being shared on social media to falsely claim that they praised Pakistan and criticised the Narendra Modi government over Pakistan’s role in mediating the US-Israel–Iran ceasefire. BOOM found that the videos have been digitally altered using A,en,Politics
boomlive_009,"The video is being shared on X with the claim that it shows a real heated exchange between a Pakistani panelist and Tripathi. In the video, the panelist is heard taunting her over her appearance and mockingly alleging that her makeup expenses are borne by Prime Minister Narendra Modi.",https://www.boomlive.in/fact-check/fake-news-viral-video-pakistan-panelist-mocking-abp-news-anchor-makeup-chitra-tripathi-factcheck-30989,BoomLive,2026-04-19,False,the Pakistani panelist in that debate is not the same person as seen in the viral video,en,Technology
boomlive_010,"Lahore"" is spelt as ""Layore"" in the Devanagari script, ""Pakistan"" appears in several nonsensical spellings, and the large red banner across the bottom of the screen reads something resembling ""PAKISTAN YUKANE.",https://www.boomlive.in/fact-check/ai-video-indian-anchor-outburst-pakistan-us-iran-ceasefire-fact-check-30988,BoomLive,2026-04-19,False,"A video of an Indian news anchor appearing to lose his temper on air over Pakistan's role in brokering a ceasefire between the United States and Iran is being shared on social media, particularly by pro-Pakistan handles. BOOM found that the video is AI-generated and riddled with visual inconsistenci",en,Technology
boomlive_011,"If you saw Donald Trump's latest tweet crediting Pakistan with stepping in to end the Iranian war, you know why I am in shock. It feels like a massive strategic failure by the Indian government. I have never criticised Prime Minister Modi or the BJP before, but today silence is just blind loyalty.",https://www.boomlive.in/fact-check/viral-video-congress-mp-shashi-tharoor-india-us-iran-war-strategy-pakistan-praise-claim-fact-check-30986,BoomLive,2026-04-19,False,A deepfake of Congress MP Shashi Tharoor appearing to show him praising Pakistan for stepping in to end the ongoing US-Iran war and criticising the Indian government over a “strategic failure” has surfaced online. BOOM found the original interview of Tharoor with India Today which predates the West ,en,Politics
boomlive_012,The video is being shared on X with the communal spin claiming that a TMC muslim leader was beaten up by people in West Bengal.,https://www.boomlive.in/fact-check/fake-news-viral-video-tmc-workers-being-beaten-false-claim-uttar-pradesh-protest-factcheck-30981,BoomLive,2026-04-19,False,"An old video from June 2022 is being shared on social media with the false claim that it shows a Muslim Trinamool Congress (TMC) worker being beaten up in West Bengal. Assembly elections in West Bengal are scheduled to be held in two phases on April 23 and April 29, 2026, with counting of votes and ",en,Religion
boomlive_013,"Indian armed forces takes over from West Bengal Police now. Now in Malda, No Appeasement, just pure Action in Army style",https://www.boomlive.in/fact-check/viral-video-indian-army-deployment-west-bengal-claim-fact-check-30979,BoomLive,2026-04-19,Misleading,"A video of security personnel arresting people and pushing them into a vehicle is circulating with a misleading claim that it shows Indian Army deployment in Malda, West Bengal, ahead of the assembly elections. BOOM found that the video is from Bangladesh and shows the Bangladeshi Army detaining thr",en,Social
boomlive_014,This is the helicopter of the superpower America lying down.,https://www.boomlive.in/fact-check/us-iran-war-ai-visuals-passed-off-as-military-jet-strike-pilot-rescue-30976,BoomLive,2026-04-19,True,Several photos created using AI and appearing to show US military aircraft being destroyed by Iranian forces and a pilot rescue operation are being shared online as real. Tests using multiple AI detection tools confirmed that the photos are synthetically generated.,en,Technology
boomlive_015,AI Images Of PM Modi's Campaign Trail Shared As Staged Photos,https://www.boomlive.in/fact-check/modi-elections-kerala-assam-assembly-behind-the-scenes-staged-photographs-30975,BoomLive,2026-04-19,True,"Two AI-generated images of Prime Minister Narendra Modi are being shared as behind-the-scenes photographs from his campaign trail in Assam and Kerala, suggesting his interactions are staged. One shows Modi sitting with women workers surrounded by a massive camera crew, the other shows him in mundu (",en,Politics
boomlive_016,"Breaking Amit Shah explodes in the Indian parliament, ""Whatever India has done or not done, does not matter because Pakistan is supposed to be a part of India. If Pakistan gets successful in mediation, it's ultimately a win for India.""",https://www.boomlive.in/fact-check/viral-video-union-home-minister-amit-shah-pakistan-mediation-us-iran-war-win-for-india-claim-fact-check-30963,BoomLive,2026-04-19,False,"A video claiming to show Union Home Minister Amit Shah commenting on Pakistan’s mediation in the ongoing US-Iran conflict is a deepfake. In the video, Shah is purportedly heard saying that if Pakistan succeeds in mediating the ongoing US–Iran war, it would ultimately be a success for India.",en,Politics
boomlive_017,"Political life is different, personal life is different. Honourable PM Shri Narendra Modi ji visiting Smt Sonia Gandhi over her ill health shows true statesmanship, dignity, and compassion beyond politics, an example for the world.",https://www.boomlive.in/fact-check/viral-photo-prime-minister-narendra-modi-congress-leader-sonia-gandhi-claim-fact-check-30960,BoomLive,2026-04-19,True,"A photograph showing Prime Minister Narendra Modi meeting senior Congress leader Sonia Gandhi, who appears to be lying on a hospital bed, is being circulated on social media as a real image. In the photo, Priyanka Gandhi Vadra, daughter of Sonia Gandhi, is seen standing beside the bed, while a clock",en,Politics
boomlive_018,The 39 seconds video is being shared claiming that Trump said Iran attacked the U.S. aircraft carrier.,https://www.boomlive.in/fact-check/fake-news-viral-video-saying-iran-attacked-uss-ford-from-17-angles-video-venezuala-factcheck-30959,BoomLive,2026-04-19,False,"A clipped video of United States President Donald Trump is being shared on social media with the false claim that he said Iran attacked the aircraft carrier USS Gerald R. Ford from “17 angles.”
BOOM found that in the original speech, Trump was referring to Venezuela and claiming to describe a Venezu",en,Technology
boomlive_019,"If one Shiv temple is broken, BJP does so much drama over it. Demolishing temples is not right. I do not endorse it. How many temples did BJP demolish while making the Kashi Vishwanath temple?",https://www.boomlive.in/fact-check/mamata-banerjee-shiv-temple-demolition-viral-clip-fact-check-30957,BoomLive,2026-04-19,Misleading,A clipped video of West Bengal Chief Minister Mamata Banerjee from a pre-election rally is being shared with the misleading claim that she mocked the demolition of a Shiv temple. BOOM found that the full video shows Banerjee making a broader point about what she described as the BJP's double standar,en,Religion
boomlive_020,"The headquarters of Kalleh Dairy, located in Amol, Mazandaran Province, Iran, was allegedly targeted in an airstrike. Further details regarding the extent of the damage and potential casualties have not yet been confirmed.",https://www.boomlive.in/fact-check/viral-video-iran-dairy-factory-airstrike-kalleh-fire-airstrike-claim-fact-check-30943,BoomLive,2026-04-19,False,"A video of a massive fire at a dairy factory in Iran is being shared online with the false claim that it shows the aftermath of an airstrike amid the country's ongoing military conflict with Israel and the United States. BOOM found that the video predates the conflict, which began on February 28, 20",en,Technology
boomlive_021,Iran has made hell out of Israel.,https://www.boomlive.in/fact-check/fake-news-viral-video-iran-strikes-israel-video-indonesia-plastic-factory-fire-video-factcheck-30942,BoomLive,2026-04-19,False,"A video of a massive fire at a plastic factory in Indonesia is being shared on social media with false claims that it shows the aftermath of Iranian strikes on Israel. BOOM found that the video is from a massive fire at a plastic factory in West Java, Indonesia, from March 29, 2026, where firefighte",en,Other
boomlive_022,"The video is being shared on X with the caption that the Indian Navy carried out a missile strike on an Iranian warship. The video with the caption was posted by the handle @Proudindiannavi, which has beenpushing falseand pro-Pakistan claims.",https://www.boomlive.in/fact-check/fake-news-viral-video-indian-navy-attack-iran-ship-fact-checkn-30938,BoomLive,2026-04-19,False,checkedPakistani handles for sharing digitally altered videos of top Indian defence personnel.,en,Technology
boomlive_023,The video is being shared on X with a caption claiming that Iran has struck a U.S. Navy warship attempting to pass through the Strait of Hormuz.,https://www.boomlive.in/fact-check/fake-news-viral-video-iran-strikes-us-navy-warship-factcheck-30913,BoomLive,2026-04-19,Unverifiable,"A video purporting to show Iran attacking a United States Navy warship in the Strait of Hormuz is fake. BOOM found clear signs of computer generated, including visual glitches and a visible on-screen cursor.",en,Technology
manual_001,5G towers cause COVID-19 and spread the coronavirus through radiation,https://www.altnews.in/5g-covid-debunk,AltNews,2024-03-15,False,No scientific evidence links 5G to COVID-19. WHO and experts have debunked this.,en,Health
manual_002,COVID-19 vaccine contains microchips installed by Bill Gates to track people,https://www.altnews.in/vaccine-microchip-debunk,AltNews,2024-02-10,False,Vaccines do not contain microchips. This is a debunked conspiracy theory.,en,Health
manual_003,Drinking cow urine cures cancer and all terminal diseases,https://www.boomlive.in/cow-urine-cancer,BoomLive,2024-04-01,False,No medical evidence supports cow urine as cure for cancer.,en,Health
manual_004,NASA confirmed that Diwali lights in India were visible from space,https://www.altnews.in/diwali-space-hoax,AltNews,2024-11-01,False,NASA never made such a statement. The viral image is edited.,en,Science
manual_005,WhatsApp will start charging users a monthly fee from next month,https://www.boomlive.in/whatsapp-fee-hoax,BoomLive,2024-06-15,False,WhatsApp has confirmed it will remain free. This is a recurring hoax.,en,Technology
manual_006,Albert Einstein failed mathematics in school and was a poor student,https://www.snopes.com/einstein-math,Snopes,2024-01-20,False,Einstein excelled at mathematics. His school records confirm top grades.,en,Science
manual_007,Indian government is distributing free laptops to all students across India,https://www.vishvasnews.com/free-laptop-hoax,VishvasNews,2024-05-10,False,No such nation-wide free laptop scheme exists. Recurring fake scheme.,en,Politics
manual_008,India launched Chandrayaan-3 mission to the Moon in July 2023,https://www.isro.gov.in/chandrayaan3,ISRO Official,2023-07-14,True,"ISRO officially confirmed Chandrayaan-3 launch on July 14, 2023.",en,Science
manual_009,India became the most populous country surpassing China in 2023,https://www.un.org/population-2023,UN Report,2023-04-19,True,UN Population Fund confirmed India surpassed China in April 2023.,en,Social
manual_010,India hosted the G20 Summit in New Delhi in September 2023,https://pib.gov.in/g20-summit,PIB,2023-09-09,True,"G20 Summit held in New Delhi on September 9-10, 2023.",en,Politics
manual_011,WHO declared COVID-19 a pandemic in March 2020,https://www.who.int/pandemic-declaration,WHO,2020-03-11,True,"WHO Director-General declared COVID-19 a pandemic on March 11, 2020.",en,Health
manual_012,UPI digital payments crossed 10 billion transactions in a single month in India in 2023,https://www.npci.org.in/upi-stats,NPCI,2023-10-01,True,NPCI data confirms UPI crossed 10 billion monthly transactions in 2023.,en,Technology
manual_013,भारत सरकार सभी नागरिकों को 15 लाख रुपये दे रही है,https://www.vishvasnews.com/15-lakh-hoax,VishvasNews,2024-03-20,False,No such scheme exists. This is a viral WhatsApp hoax.,hi,Politics
manual_014,गाय का दूध पीने से कैंसर ठीक हो जाता है,https://www.boomlive.in/cow-milk-cancer-hindi,BoomLive,2024-05-05,False,No medical evidence supports this claim about cow milk curing cancer.,hi,Health
manual_015,पाकिस्तान ने भारत पर परमाणु हमला किया,https://www.altnews.in/pakistan-nuclear-hoax-hindi,AltNews,2024-07-10,False,Completely fabricated claim. No nuclear attack occurred.,hi,Politics
manual_016,5G टावर से कोरोना वायरस फैलता है,https://www.vishvasnews.com/5g-corona-hindi,VishvasNews,2024-02-15,False,WHO has confirmed 5G does not spread COVID-19 virus.,hi,Health
manual_017,सरकार ने पेट्रोल की कीमत 40 रुपये प्रति लीटर कर दी है,https://www.boomlive.in/petrol-price-hindi,BoomLive,2024-08-01,False,No government order reduced petrol to Rs 40. Current prices are much higher.,hi,Social
manual_018,भारत ने 2023 में चंद्रयान-3 सफलतापूर्वक चंद्रमा पर उतारा,https://www.isro.gov.in/chandrayaan3-hindi,ISRO,2023-08-23,True,"Chandrayaan-3 successfully landed on the Moon on August 23, 2023.",hi,Science
manual_019,भारत ने 2023 में G20 शिखर सम्मेलन की मेजबानी की,https://pib.gov.in/g20-hindi,PIB,2023-09-09,True,India hosted G20 Summit in New Delhi in September 2023.,hi,Politics
manual_020,मोदी सरकार ने किसानों का कर्ज माफ कर दिया,https://www.vishvasnews.com/farm-loan-misleading,VishvasNews,2024-04-15,Misleading,Some state-level loan waivers exist but no central government blanket waiver.,hi,Politics
manual_021,महाराष्ट्र सरकार प्रत्येक कुटुंबाला 5 लाख रुपये देत आहे,https://www.boomlive.in/maharashtra-5lakh-marathi,BoomLive,2024-06-01,False,No such scheme exists in Maharashtra. Viral WhatsApp forward.,mr,Politics
manual_022,पुण्यात 5G टॉवरमुळे पक्षी मरत आहेत,https://www.altnews.in/pune-5g-birds-marathi,AltNews,2024-03-10,False,No evidence links 5G towers to bird deaths in Pune.,mr,Science
manual_023,मुंबईत भूकंप आला आणि 500 इमारती कोसळल्या,https://www.boomlive.in/mumbai-earthquake-marathi,BoomLive,2024-07-20,False,No such earthquake occurred in Mumbai. Fabricated claim.,mr,Social
manual_024,महाराष्ट्रात 2024 मध्ये विधानसभा निवडणुका झाल्या,https://eci.gov.in/maharashtra-elections,ECI,2024-11-20,True,Maharashtra Assembly elections were held in November 2024.,mr,Politics
manual_025,Eating raw garlic and onion juice completely prevents and cures dengue fever,https://factchecker.in/garlic-dengue,FactChecker.in,2024-09-01,Misleading,Garlic may have some health benefits but cannot cure or prevent dengue.,en,Health
manual_026,Petrol prices will be reduced to Rs 40 per litre after new government order,https://www.boomlive.in/petrol-price-false,BoomLive,2024-08-15,False,No such government order exists. Current prices are above Rs 90.,en,Social
manual_027,India has been declared the most peaceful country in the world by the United Nations,https://www.altnews.in/india-peaceful-un,AltNews,2024-05-20,False,India ranks 126th in Global Peace Index 2024. UN never made this claim.,en,Politics
